Energy_keV,Relative_Intensity
1,0.10425395782817233
2,0.055314401932746664
3,0.03648043713554039
4,0.03224976260380111
5,0.03612621613007063
6,0.044905834017639396
7,0.05731408640152027
8,0.07337647875160393
9,0.09084747385784311
10,0.6263806379015676
11,0.04731106107891705
12,0.03740552061032424
13,0.034945910487072115
14,0.03974414057402993
15,0.04502366813133618
16,0.050726920043017834
17,0.05672037109839675
18,0.06297128294639961
19,0.06940680025215086
20,0.07590570967025337
21,0.08243892890399925
22,0.0888805135360213
23,0.09519386183898583
24,0.1012655167102784
25,0.10703523047541452
26,0.11249149326698984
27,0.11755202404770465
28,0.1221845726251062
29,0.1263657513089362
30,0.1300940603472904
31,0.13337765054898923
32,0.13621274842615766
33,0.13860140730881865
34,0.14056855284546807
35,0.14212629053768508
36,0.1433052822008036
37,0.14412447897697028
38,0.14460821526214268
39,0.1447893430675531
40,0.14468646753147574
41,0.14433585627034784
42,0.14375184768732607
43,0.14296902653712776
44,0.14200080844488552
45,0.14087536115520802
46,0.13960084276701026
47,0.13819865380503693
48,0.13669525572966465
49,0.13509183971761834
50,0.13341738119580637
51,0.1316643720491342
52,0.12986307582598952
53,0.12801531251137566
54,0.12613617979568423
55,0.12423212525828288
56,0.12230731950566895
57,0.12037551689692653
58,1.0
59,0.11649019693763538
60,0.1145477641983757
61,0.11264036364227704
62,0.11073673290929327
63,0.10884628286209161
64,0.10696736117273413
65,0.10510396861715875
66,0.10326094710055747
67,0.6619250769082482
68,0.09963391714274802
69,0.1425716483917967
70,0.06267319990112577
71,0.06225490437338993
72,0.06183728991962344
73,0.061417437040220756
74,0.060983794221591184
75,0.06052865535239526
76,0.06005868499281107
77,0.059569778713732
78,0.05906156375105932
79,0.058537261075473086
80,0.05799724280259498
81,0.05744807078036231
82,0.0568858087494582
83,0.05631196974928134
84,0.055728178036279157
85,0.05513487765446882
86,0.054534152349956504
87,0.05392652651062468
88,0.05331277222694751
89,0.05269485344062699
90,0.05207258568983729
91,0.05144994174723691
92,0.050823895297425564
93,0.050196441448074815
94,0.049567185453005064
95,0.04893716705170484
96,0.04830726317919419
97,0.047677305112032435
98,0.04704906113344827
99,0.04642127466297581
100,0.045796612225392094
101,0.04517384460019702
102,0.04455440467988417
103,0.04393778427049294
104,0.043323753497928205
105,0.04271399539818176
106,0.04210701876804543
107,0.04150493282920529
108,0.04090612624244801
109,0.040312622781564424
110,0.039722972819421866
111,0.03913814426469037
112,0.03855852911058091
113,0.03798336088433696
114,0.03741397904663964
115,0.0368483583329519
116,0.03628903913640528
117,0.03573385132362794
118,0.03518498295356776
119,0.03464084166669805
120,0.03410250303723836
121,0.033569948069493365
122,0.03304240744994055
123,0.032521199114856694
124,0.03200460638970515
125,0.03149456484058769
126,0.030988242773609464
127,0.030488471252251095
128,0.0299933063028987
129,0.029504265241109436
130,0.029020498455923065
131,0.02854194121627618
132,0.028069186634673057
133,0.027600793301248844
134,0.02713877098731743
135,0.026681188624701407
136,0.02622996987655537
137,0.025782935482424354
138,0.025341683212168103
139,0.024904965670989418
140,0.024473135329660403
141,0.0240463151796157
142,0.02362363549270729
143,0.02320666348284732
144,0.022793578412366726
145,0.022386085607636167
146,0.02198248761078211
147,0.021584187048421435
148,0.02118998061367
149,0.020800458440973682
150,0.02041534999830207
151,0.020034077845472006
152,0.01965761211004074
153,0.01928479462698334
154,0.018916850789709238
155,0.018552468469523038
156,0.01819267975363128
157,0.01783650349876925
158,0.017484418286969
159,0.017136293776211297
160,0.01679184420469553
161,0.016451456712627384
162,0.016114288574912938
163,0.01578098743249163
164,0.015450856740359257
165,0.015124621695799355
166,0.014801510239193278
167,0.014481888336072859
168,0.014165505247634453
169,0.013852283305895427
170,0.013542314559061632
171,0.013235221312175489
172,0.012931374388211096
173,0.012630425693866486
174,0.01233265378705547
175,0.012037513528826971
176,0.011745186064308464
177,0.011455483008203713
178,0.01116865186940589
179,0.010884312495948506
180,0.01060261458936291
181,0.010323321183979488
182,0.010046564493292748
183,0.009772129565849342
184,0.009499979321800519
185,0.009230133441633778
186,0.00896236630097827
187,0.008696993266402464
188,0.00843348393529795
189,0.008172381445344176
190,0.007912978420934311
191,0.007655822356126086
192,0.007400319835880815
193,0.007146724928690658
194,0.00689484736454877
195,0.006644548201129581
196,0.006396145217526742
197,0.006148966059063203
198,0.00590379146118523
199,0.005659541150977589
200,0.00541721110592298
201,0.005175779800333115
202,0.004936041873524403
203,0.004697623914382452
204,0.0044605419163483125
205,0.0042251231924916284
206,0.003990685611100266
207,0.0037582179648552004
208,0.0035266478843824136
209,0.003297375129002679
210,0.003069337801594012
211,0.002843658592995799
212,0.0026199103806739997
213,0.002398705533968555
214,0.0021803324151707377
215,0.0019647393562497346
216,0.0017528891427611604
217,0.00154466143285427
218,0.0013414513276149445
219,0.0011438978473258682
220,0.0009508694657112529
221,0.0007681666779303217
222,0.0005870906735673361
223,0.00041578987907592616
224,0.00022536297528483854
225,2.815128013418642e-07
